资产总计 存货 股票价格 营业收入 总负债 营业税金及附加 盈余公积金 应付利息 流动资产 负债总计 利润总额 总股本 净利润 财务费用 无形资产 总资产 股东权益 资本公积 固定资产 销售费用 应收账款 杜邦分析 流动负债 未分配利润 递延所得税资产 实收资本（或股本） 评估分数 评估类别
2217317555.77 381548200.75 7.01 276543855.54 677900641.62 3950136.68 19940955.96 147650.0 1084460363.89 677900641.62 14232715.62 47131.5 8021454.91 7095387.19 187571638.97 2217317555.77 1539416914.15 1145224946.04 426939614.99 11380000.0 234447159.32 0.31 621832079.68 -117360200.98 29786912.06 471315045.0 5.58 可疑
2207213985.9 353630116.76 10.8551035 142202002.93 664888699.33 2086077.8 19940955.96 135937.5 1074950579.79 664888699.33 13366685.51 47131.5 10932782.44 4240683.22 188779701.19 2207213985.9 1542325286.57 1145221990.93 430334976.6 5490000.0 235899201.47 0.53 609479780.63 -114038850.63 30839314.11 471315045.0 5.86 可疑
2254489936.19 347792639.13 10.8551035 544703596.01 675703698.09 9411815.11 19940955.96 250573.25 1130872853.95 675703698.09 -61366653.17 47131.5 -65760579.42 16075903.98 193383473.62 2254489936.19 1578786238.1 1157496203.66 437217934.84 32900000.0 207228031.1 -4.0 618700582.94 -122164163.25 30839716.65 471315045.0 0.9 危险
2296263079.62 349558241.13 10.8551035 398783451.76 664836368.82 6962486.93 19940955.96 130500.0 1173695402.78 664836368.82 -18337020.79 47131.5 -23050106.72 12261370.93 188553010.97 2296263079.62 1631426710.8 1159017897.66 432572353.75 22700000.0 248809789.37 -1.38 605949696.22 -81641864.21 28811471.14 471315045.0 4.23 危险
2279715566.38 344146664.79 10.8551035 268952454.11 635687609.16 4558045.63 19940955.96 130500.0 1169410072.05 635687609.16 -6069830.03 47131.5 -10448860.3 7487273.16 184989357.19 2279715566.38 1644027957.22 1159017897.66 438694065.18 14270000.0 241288220.46 -0.75 584530598.87 -71581610.4 27488457.96 471315045.0 5.22 可疑
2451739503.45 333340631.78 10.8551035 122344239.0 799914165.87 1555616.4 19940955.96 176021.14 1338204548.51 799914165.87 -865310.85 47131.5 -2651479.93 3852703.05 189418095.98 2451739503.45 1651825337.58 1159017897.66 447486571.14 5670000.0 222970443.92 -0.23 746244107.68 -63363618.07 27557055.27 471315045.0 4.54 危险
4287688086.37 1985543063.82 22.94 1144168042.39 2201008560.24 41250328.73 21470180.73 1494192.77 3306769650.11 2201008560.24 -32214163.71 30180.23 -33679764.66 32879621.88 207404409.46 4287688086.37 2086679526.13 2088303496.89 298760142.66 7620000.0 185373845.06 -1.56 1805470145.24 -505114115.57 52969136.75 301802291.0 1.43 危险
4153067766.29 1851454147.38 10.8551035 601846677.08 2012889240.64 13690421.56 21470180.73 465056.22 3161037818.28 2012889240.64 7524433.55 30180.23 2101796.87 17873335.43 220518929.51 4153067766.29 2140178525.65 2096212652.69 303772912.82 4260000.0 158375832.67 0.18 1617394564.12 -471465053.88 46790726.64 301802291.0 3.59 危险
4351209135.93 1649659847.81 10.8551035 5495230981.09 2212150727.83 90955997.18 21470180.73 1414086.14 3360465079.27 2212150727.83 46170548.33 30180.23 26349046.46 89742957.28 223492816.95 4351209135.93 2139058408.1 2096212652.69 305478953.14 26390000.0 390970938.02 1.05 1814833453.61 -474976216.17 49068808.38 301802291.0 5.49 可疑
4958534935.82 1979265530.96 10.8551035 4016032549.8 2831665044.41 70793009.29 21470180.73 486054.38 3987439145.64 2831665044.41 34107431.22 30180.23 14882350.39 64679283.59 229310771.18 4958534935.82 2126869891.41 2096212652.69 289099466.96 17660000.0 377522755.64 0.42 2433718356.06 -487273005.47 48265419.6 301802291.0 3.72 危险
5023147554.08 2035902589.98 10.8551035 2686351035.59 2939206798.77 16827576.37 21470180.73 1353333.33 4055627696.99 2939206798.77 -20045384.78 30180.23 -27244408.86 40394650.81 231214087.64 5023147554.08 2083940755.31 2096212652.69 291000123.71 9340000.0 587184723.06 -1.68 2537996581.07 -527728341.24 51174211.85 301802291.0 0.67 危险
4949950106.69 1875861359.28 10.8551035 1585270567.45 2834954505.85 942111.17 21470180.73 182172.3 3991189679.16 2834954505.85 10121048.81 30180.23 4822027.82 19995798.2 234486121.31 4949950106.69 2114995600.84 2096212652.69 296143022.69 5200000.0 812444199.61 0.09 2394939102.11 -493737637.95 54780748.45 301802291.0 2.78 危险
26540431233.25 8991453620.63 6.14 3979685521.9 22195805971.01 9944896.95 76966629.2 11994746.06 20801767949.32 22195805971.01 154864254.79 88291.44 159358431.71 198478152.93 254343205.18 26540431233.25 4344625262.24 2298517898.28 1764047529.36 28530000.0 5487515535.62 3.51 20016373919.2 576038420.28 346529377.81 882914400.0 4.79 危险
22817290550.47 6691175836.34 10.8551035 1187243020.09 19702925551.19 4042784.98 76966629.2 45143945.65 17652585887.31 19702925551.19 -43832188.89 73576.2 -47344008.52 114253336.24 264831050.95 22817290550.47 3114364999.28 1421816891.27 1783150500.34 13980000.0 4882518294.2 -2.04 15705532114.75 418132189.19 316376967.13 735762000.0 -1.62 危险
